"CLDR Short Name";"Code";"Browser"
"⊛ adult: medium-dark skin tone";"U+1F9D1 U+1F3FE";"🧑🏾"
"⊛ adult: dark skin tone";"U+1F9D1 U+1F3FF";"🧑🏿"
"man";"U+1F468";"👨"
"man: light skin tone";"U+1F468 U+1F3FB";"👨🏻"
"man: medium-light skin tone";"U+1F468 U+1F3FC";"👨🏼"
"man: medium skin tone";"U+1F468 U+1F3FD";"👨🏽"
"man: medium-dark skin tone";"U+1F468 U+1F3FE";"👨🏾"
"man: dark skin tone";"U+1F468 U+1F3FF";"👨🏿"
"woman";"U+1F469";"👩"
"woman: light skin tone";"U+1F469 U+1F3FB";"👩🏻"
"woman: medium-light skin tone";"U+1F469 U+1F3FC";"👩🏼"
"woman: medium skin tone";"U+1F469 U+1F3FD";"👩🏽"
"woman: medium-dark skin tone";"U+1F469 U+1F3FE";"👩🏾"
"woman: dark skin tone";"U+1F469 U+1F3FF";"👩🏿"
"⊛ older adult";"U+1F9D3";"🧓"
"⊛ older adult: light skin tone";"U+1F9D3 U+1F3FB";"🧓🏻"
"⊛ older adult: medium-light skin tone";"U+1F9D3 U+1F3FC";"🧓🏼"
"⊛ older adult: medium skin tone";"U+1F9D3 U+1F3FD";"🧓🏽"
"⊛ older adult: medium-dark skin tone";"U+1F9D3 U+1F3FE";"🧓🏾"
"⊛ older adult: dark skin tone";"U+1F9D3 U+1F3FF";"🧓🏿"
"old man";"U+1F474";"👴"
"old man: light skin tone";"U+1F474 U+1F3FB";"👴🏻"
"old man: medium-light skin tone";"U+1F474 U+1F3FC";"👴🏼"
"old man: medium skin tone";"U+1F474 U+1F3FD";"👴🏽"
"old man: medium-dark skin tone";"U+1F474 U+1F3FE";"👴🏾"
"old man: dark skin tone";"U+1F474 U+1F3FF";"👴🏿"
"old woman";"U+1F475";"👵"
"old woman: light skin tone";"U+1F475 U+1F3FB";"👵🏻"
"old woman: medium-light skin tone";"U+1F475 U+1F3FC";"👵🏼"
"old woman: medium skin tone";"U+1F475 U+1F3FD";"👵🏽"
"old woman: medium-dark skin tone";"U+1F475 U+1F3FE";"👵🏾"
"old woman: dark skin tone";"U+1F475 U+1F3FF";"👵🏿"
"man health worker";"U+1F468 U+200D U+2695 U+FE0F";"👨
⚕️"
"man health worker: light skin tone";"U+1F468 U+1F3FB U+200D U+2695 U+FE0F";"👨🏻
⚕️"
"man health worker: medium-light skin tone";"U+1F468 U+1F3FC U+200D U+2695 U+FE0F";"👨🏼
⚕️"
"man health worker: medium skin tone";"U+1F468 U+1F3FD U+200D U+2695 U+FE0F";"👨🏽
⚕️"
"man health worker: medium-dark skin tone";"U+1F468 U+1F3FE U+200D U+2695 U+FE0F";"👨🏾
⚕️"
"man health worker: dark skin tone";"U+1F468 U+1F3FF U+200D U+2695 U+FE0F";"👨🏿
⚕️"
"woman health worker";"U+1F469 U+200D U+2695 U+FE0F";"👩
⚕️"
"woman health worker: light skin tone";"U+1F469 U+1F3FB U+200D U+2695 U+FE0F";"👩🏻
⚕️"
"woman health worker: medium-light skin tone";"U+1F469 U+1F3FC U+200D U+2695 U+FE0F";"👩🏼
⚕️"
"woman health worker: medium skin tone";"U+1F469 U+1F3FD U+200D U+2695 U+FE0F";"👩🏽
⚕️"
"woman health worker: medium-dark skin tone";"U+1F469 U+1F3FE U+200D U+2695 U+FE0F";"👩🏾
⚕️"
"woman health worker: dark skin tone";"U+1F469 U+1F3FF U+200D U+2695 U+FE0F";"👩🏿
⚕️"
"man student";"U+1F468 U+200D U+1F393";"👨
🎓"
"man student: light skin tone";"U+1F468 U+1F3FB U+200D U+1F393";"👨🏻
🎓"
"man student: medium-light skin tone";"U+1F468 U+1F3FC U+200D U+1F393";"👨🏼
🎓"
"man student: medium skin tone";"U+1F468 U+1F3FD U+200D U+1F393";"👨🏽
🎓"
"man student: medium-dark skin tone";"U+1F468 U+1F3FE U+200D U+1F393";"👨🏾
🎓"
"man student: dark skin tone";"U+1F468 U+1F3FF U+200D U+1F393";"👨🏿
🎓"
"woman student";"U+1F469 U+200D U+1F393";"👩
🎓"
"woman student: light skin tone";"U+1F469 U+1F3FB U+200D U+1F393";"👩🏻
🎓"
"woman student: medium-light skin tone";"U+1F469 U+1F3FC U+200D U+1F393";"👩🏼
🎓"
"woman student: medium skin tone";"U+1F469 U+1F3FD U+200D U+1F393";"👩🏽
🎓"
"woman student: medium-dark skin tone";"U+1F469 U+1F3FE U+200D U+1F393";"👩🏾
🎓"
"woman student: dark skin tone";"U+1F469 U+1F3FF U+200D U+1F393";"👩🏿
🎓"
"man teacher";"U+1F468 U+200D U+1F3EB";"👨
🏫"
"man teacher: light skin tone";"U+1F468 U+1F3FB U+200D U+1F3EB";"👨🏻
🏫"
"man teacher: medium-light skin tone";"U+1F468 U+1F3FC U+200D U+1F3EB";"👨🏼
🏫"
"man teacher: medium skin tone";"U+1F468 U+1F3FD U+200D U+1F3EB";"👨🏽
🏫"
"man teacher: medium-dark skin tone";"U+1F468 U+1F3FE U+200D U+1F3EB";"👨🏾
🏫"
"man teacher: dark skin tone";"U+1F468 U+1F3FF U+200D U+1F3EB";"👨🏿
🏫"
"woman teacher";"U+1F469 U+200D U+1F3EB";"👩
🏫"
"woman teacher: light skin tone";"U+1F469 U+1F3FB U+200D U+1F3EB";"👩🏻
🏫"
"woman teacher: medium-light skin tone";"U+1F469 U+1F3FC U+200D U+1F3EB";"👩🏼
🏫"
"woman teacher: medium skin tone";"U+1F469 U+1F3FD U+200D U+1F3EB";"👩🏽
🏫"
"woman teacher: medium-dark skin tone";"U+1F469 U+1F3FE U+200D U+1F3EB";"👩🏾
🏫"
"woman teacher: dark skin tone";"U+1F469 U+1F3FF U+200D U+1F3EB";"👩🏿
🏫"
"man judge";"U+1F468 U+200D U+2696 U+FE0F";"👨
⚖️"
"man judge: light skin tone";"U+1F468 U+1F3FB U+200D U+2696 U+FE0F";"👨🏻
⚖️"
"man judge: medium-light skin tone";"U+1F468 U+1F3FC U+200D U+2696 U+FE0F";"👨🏼
⚖️"
"man judge: medium skin tone";"U+1F468 U+1F3FD U+200D U+2696 U+FE0F";"👨🏽
⚖️"
"man judge: medium-dark skin tone";"U+1F468 U+1F3FE U+200D U+2696 U+FE0F";"👨🏾
⚖️"
"man judge: dark skin tone";"U+1F468 U+1F3FF U+200D U+2696 U+FE0F";"👨🏿
⚖️"
"woman judge";"U+1F469 U+200D U+2696 U+FE0F";"👩
⚖️"
"woman judge: light skin tone";"U+1F469 U+1F3FB U+200D U+2696 U+FE0F";"👩🏻
⚖️"
"woman judge: medium-light skin tone";"U+1F469 U+1F3FC U+200D U+2696 U+FE0F";"👩🏼
⚖️"
"woman judge: medium skin tone";"U+1F469 U+1F3FD U+200D U+2696 U+FE0F";"👩🏽
⚖️"
"woman judge: medium-dark skin tone";"U+1F469 U+1F3FE U+200D U+2696 U+FE0F";"👩🏾
⚖️"
"woman judge: dark skin tone";"U+1F469 U+1F3FF U+200D U+2696 U+FE0F";"👩🏿
⚖️"
"man farmer";"U+1F468 U+200D U+1F33E";"👨
🌾"
"man farmer: light skin tone";"U+1F468 U+1F3FB U+200D U+1F33E";"👨🏻
🌾"
"man farmer: medium-light skin tone";"U+1F468 U+1F3FC U+200D U+1F33E";"👨🏼
🌾"
"man farmer: medium skin tone";"U+1F468 U+1F3FD U+200D U+1F33E";"👨🏽
🌾"
"man farmer: medium-dark skin tone";"U+1F468 U+1F3FE U+200D U+1F33E";"👨🏾
🌾"
"man farmer: dark skin tone";"U+1F468 U+1F3FF U+200D U+1F33E";"👨🏿
🌾"
"woman farmer";"U+1F469 U+200D U+1F33E";"👩
🌾"
"woman farmer: light skin tone";"U+1F469 U+1F3FB U+200D U+1F33E";"👩🏻
🌾"
"woman farmer: medium-light skin tone";"U+1F469 U+1F3FC U+200D U+1F33E";"👩🏼
🌾"
"woman farmer: medium skin tone";"U+1F469 U+1F3FD U+200D U+1F33E";"👩🏽
🌾"
"woman farmer: medium-dark skin tone";"U+1F469 U+1F3FE U+200D U+1F33E";"👩🏾
🌾"
"woman farmer: dark skin tone";"U+1F469 U+1F3FF U+200D U+1F33E";"👩🏿
🌾"
"man cook";"U+1F468 U+200D U+1F373";"👨
🍳"
"man cook: light skin tone";"U+1F468 U+1F3FB U+200D U+1F373";"👨🏻
🍳"
"man cook: medium-light skin tone";"U+1F468 U+1F3FC U+200D U+1F373";"👨🏼
🍳"
"man cook: medium skin tone";"U+1F468 U+1F3FD U+200D U+1F373";"👨🏽
🍳"
"man cook: medium-dark skin tone";"U+1F468 U+1F3FE U+200D U+1F373";"👨🏾
🍳"
"man cook: dark skin tone";"U+1F468 U+1F3FF U+200D U+1F373";"👨🏿
🍳"
"woman cook";"U+1F469 U+200D U+1F373";"👩
🍳"
"woman cook: light skin tone";"U+1F469 U+1F3FB U+200D U+1F373";"👩🏻
🍳"
"woman cook: medium-light skin tone";"U+1F469 U+1F3FC U+200D U+1F373";"👩🏼
🍳"
"woman cook: medium skin tone";"U+1F469 U+1F3FD U+200D U+1F373";"👩🏽
🍳"
"woman cook: medium-dark skin tone";"U+1F469 U+1F3FE U+200D U+1F373";"👩🏾
🍳"
"woman cook: dark skin tone";"U+1F469 U+1F3FF U+200D U+1F373";"👩🏿
🍳"
"man mechanic";"U+1F468 U+200D U+1F527";"👨
🔧"
"man mechanic: light skin tone";"U+1F468 U+1F3FB U+200D U+1F527";"👨🏻
🔧"
"man mechanic: medium-light skin tone";"U+1F468 U+1F3FC U+200D U+1F527";"👨🏼
🔧"
"man mechanic: medium skin tone";"U+1F468 U+1F3FD U+200D U+1F527";"👨🏽
🔧"
"man mechanic: medium-dark skin tone";"U+1F468 U+1F3FE U+200D U+1F527";"👨🏾
🔧"
"man mechanic: dark skin tone";"U+1F468 U+1F3FF U+200D U+1F527";"👨🏿
🔧"
